Sample alias," ""First Fastq File"""," ""First Checksum"""," ""First Unencrypted checksum"""," ""Second Fastq File"""," ""Second Checksum"""," ""Second Unencrypted checksum"""
run8_S43,run8_43_S43_L001_R1_001.fastq.gz,,,run8_43_S43_L001_R2_001.fastq.gz,,
run7_S31,run7_31_S31_L001_R1_001.fastq.gz,,,run7_31_S31_L001_R2_001.fastq.gz,,
run6_S70,run6_70_S70_L001_R1_001.fastq.gz,,,run6_70_S70_L001_R2_001.fastq.gz,,
run8_S1807,run8_1807_S1807_L001_R1_001.fastq.gz,,,run8_1807_S1807_L001_R2_001.fastq.gz,,
run8_S85,run8_85_S85_L001_R1_001.fastq.gz,,,run8_85_S85_L001_R2_001.fastq.gz,,
run6_S11,run6_11_S11_L001_R1_001.fastq.gz,,,run6_11_S11_L001_R2_001.fastq.gz,,
run9_S44,run9_44_S44_L001_R1_001.fastq.gz,,,run9_44_S44_L001_R2_001.fastq.gz,,
run7_S38,run7_38_S38_L001_R1_001.fastq.gz,,,run7_38_S38_L001_R2_001.fastq.gz,,
run8_S57,run8_57_S57_L001_R1_001.fastq.gz,,,run8_57_S57_L001_R2_001.fastq.gz,,
run8_S46,run8_46_S46_L001_R1_001.fastq.gz,,,run8_46_S46_L001_R2_001.fastq.gz,,
run7_S57,run7_57_S57_L001_R1_001.fastq.gz,,,run7_57_S57_L001_R2_001.fastq.gz,,
run6_S1807,run6_1807_S1807_L001_R1_001.fastq.gz,,,run6_1807_S1807_L001_R2_001.fastq.gz,,
run7_S2670,run7_2670_S2670_L001_R1_001.fastq.gz,,,run7_2670_S2670_L001_R2_001.fastq.gz,,
run6_S13,run6_13_S13_L001_R1_001.fastq.gz,,,run6_13_S13_L001_R2_001.fastq.gz,,
run4_S21,run4_21_S21_L001_R1_001.fastq.gz,,,run4_21_S21_L001_R2_001.fastq.gz,,
run6_S46,run6_46_S46_L001_R1_001.fastq.gz,,,run6_46_S46_L001_R2_001.fastq.gz,,
run1_S32,run1_32_S32_L001_R1_001.fastq.gz,,,run1_32_S32_L001_R2_001.fastq.gz,,
run9_S47,run9_47_S47_L001_R1_001.fastq.gz,,,run9_47_S47_L001_R2_001.fastq.gz,,
run1_S2931,run1_2931_S2931_L001_R1_001.fastq.gz,,,run1_2931_S2931_L001_R2_001.fastq.gz,,
run5_S34,run5_34_S34_L001_R1_001.fastq.gz,,,run5_34_S34_L001_R2_001.fastq.gz,,
run1_S10,run1_10_S10_L001_R1_001.fastq.gz,,,run1_10_S10_L001_R2_001.fastq.gz,,
run1_S12,run1_12_S12_L001_R1_001.fastq.gz,,,run1_12_S12_L001_R2_001.fastq.gz,,
run9_S35,run9_35_S35_L001_R1_001.fastq.gz,,,run9_35_S35_L001_R2_001.fastq.gz,,
run2_S58,run2_58_S58_L001_R1_001.fastq.gz,,,run2_58_S58_L001_R2_001.fastq.gz,,
run2_S3737,run2_3737_S3737_L001_R1_001.fastq.gz,,,run2_3737_S3737_L001_R2_001.fastq.gz,,
run9_S8,run9_8_S8_L001_R1_001.fastq.gz,,,run9_8_S8_L001_R2_001.fastq.gz,,
run3_S2931,run3_2931_S2931_L001_R1_001.fastq.gz,,,run3_2931_S2931_L001_R2_001.fastq.gz,,
run6_S83,run6_83_S83_L001_R1_001.fastq.gz,,,run6_83_S83_L001_R2_001.fastq.gz,,
run7_S93,run7_93_S93_L001_R1_001.fastq.gz,,,run7_93_S93_L001_R2_001.fastq.gz,,
run2_S24,run2_24_S24_L001_R1_001.fastq.gz,,,run2_24_S24_L001_R2_001.fastq.gz,,
run2_S2006,run2_2006_S2006_L001_R1_001.fastq.gz,,,run2_2006_S2006_L001_R2_001.fastq.gz,,
run5_S28,run5_28_S28_L001_R1_001.fastq.gz,,,run5_28_S28_L001_R2_001.fastq.gz,,
run2_S2,run2_2_S2_L001_R1_001.fastq.gz,,,run2_2_S2_L001_R2_001.fastq.gz,,
run5_S1228,run5_1228_S1228_L001_R1_001.fastq.gz,,,run5_1228_S1228_L001_R2_001.fastq.gz,,
run5_S20,run5_20_S20_L001_R1_001.fastq.gz,,,run5_20_S20_L001_R2_001.fastq.gz,,
run6_S7,run6_7_S7_L001_R1_001.fastq.gz,,,run6_7_S7_L001_R2_001.fastq.gz,,
